[Fri Mar 16 17:14:19.737285 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  46. App\\Http\\Controllers\\API\\ContactAPIController->index() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737300 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  47. spl_autoload_call() /var/www/html/api/server/app/Http/Controllers/API/ContactAPIController.php:19, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737316 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  48. Composer\\Autoload\\ClassLoader->loadClass() /var/www/html/api/server/app/Http/Controllers/API/ContactAPIController.php:19, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737332 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  49. Composer\\Autoload\\includeFile() /var/www/html/api/server/vendor/composer/ClassLoader.php:322, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737348 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  50. include() /var/www/html/api/server/vendor/composer/ClassLoader.php:444, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056336 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP Fatal error:  Trait 'App\\Notifiable' not found in /var/www/html/api/server/app/Contact.php on line 9, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056397 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP Stack trace:, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056422 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   1. {main}() /var/www/html/api/server/public/index.php:0, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056436 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   2. App\\Http\\Kernel->handle() /var/www/html/api/server/public/index.php:55, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056449 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP   3. App\\Http\\Kernel->sendRequestThroughRouter() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://localhost:3000/
